Ersterwähnung;Ort;Landkreis;GPS
704;Großmonta;Sömmerda;51.213014135033404, 11.292545644029113
704;Arnstadt;Ilm-Kreis;50.798675991743565, 10.971400349540067
704;Mühlberg;Gotha;50.86927773223871, 10.826146928481224
706;Tonndorf;Weimarer Land;50.88202689123464, 11.226847775888254
725;Ohrdruf;Gotha;50.82475479163669, 10.742109804758904
731;Freienbessingen;Kyffhäuserkreis;51.233392420930834, 10.775475489542751
736;Thamsbrück;Unstrut-Hainich-Kreis;51.14010379655854, 10.63607973494517
742;Erfurt;Erfurt;50.98487664306335, 11.023525046028205
744;Wundersleben;Sömmerda;51.154535619078935, 11.03759660653199
744;Straußfurt;Sömmerda;51.167950945564186, 10.99026497525889
744;Gerstungen;WAK;50.96065891798273, 10.088880040701836
750;Achelstädt (Witzleben);Ilm-Kreis;50.835960033164426, 11.12258760283785
758;Jüchsen;SM;50.47905854698735, 10.501602854022485
772;Großenehrich;Kyffhäuserkreis;51.24709390505027, 10.845480855181984
772;Schernberg (Sondershausen);Kyffhäuserkreis;51.32816013391134, 10.769219686773113
772;Görsbach;Nordhausen;51.461810927239554, 10.94073020614686
;;;
772;Tennstedt;Unstrut-Hainich-Kreis;51.15248098690745, 10.861955302703256
;;;
774;Nordheim;SM;49.10647929595412, 9.1194985001577
774;Tüngeda;WAK;51.0346264923001, 10.582782934364696
;;;
775;Zimmersupra;Gotha;50.98917131928185, 10.875736757174575
;;;
775;Mechterstädt;Gotha;50.94131430538436, 10.524881971659564
;;;
775;Apfelstädt;Gotha;50.8891822914476, 10.876880424764058
;;;
775;Gotha;Gotha;50.947688634553614, 10.706651772401552
;;;
775;Gräfentonna;Gotha;51.09156164878442, 10.732209458767901
775;Gierstädt;Gotha;51.04309324448465, 10.828608682169632
;;;
775;Göllingen;Kyffhäuserkreis;51.34389942671112, 11.01282997527468
775;Elxleben;Ilm-Kreis;51.04449969959169, 10.947183678292294
775;Creuzburg;WAK;51.05237260948435, 10.24839197403996
775;Salzungen;WAK;50.816912018033086, 10.245768220832517
775;Großmölsen;Sömmerda;51.02602901388816, 11.146591299548312
775;Kirchhasel;Saalfeld-Rudolstadt;50.72991438819262, 11.394917407352045
776;Westhausen;HBN;48.879588552464575, 10.18493868629643
;;;
776;Rudolstadt;Saalfeld-Rudolstadt;50.71767820479279, 11.327836265931944
777;Heldrungen;Kyffhäuserkreis;51.30120402984215, 11.223249006640367
778;Hochheim;Gotha;51.01705292013776, 10.66101936809415
778;Mittelsdorf;SM;50.607564236162155, 10.132099602782418
778;Sundremda (Rudolstadt);Saalfeld- Rudolstadt;50.74725113282782, 11.213172971848666
779;Hochheim;Erfurt;50.95685514665493, 10.998941548983003
779;Tröchtelborn;Gotha;50.990768860256445, 10.814881761424973
;;;
779;Großenlupnitz;WAK;50.995374223335176, 10.39714229898003
;;;
780;Niedersachswerfen;Nordhausen;51.55081891490134, 10.76466052486428
780;Herbsleben;Unstrut-Hainich-Kreis;51.11777219372178, 10.845692864159185
781;Roßdorf;SM;50.70329088172984, 10.22274295213684
;;;
783;Birx;SM;50.52986210571342, 10.047615590835644
783;Berkach;SM;50.43720752929505, 10.398041583996987
784;Sülzfeld;SM;50.52451434458615, 10.35755337682501
784;Milz;HBN;50.37877218114374, 10.537656413193877
784;Sülzdorf (Römhild);HBN;50.41054206375453, 10.489571340833853
785;Großvargula;Unstrut-Hainich-Kreis;51.11554245925312, 10.78438014224003
786;Buttstädt;Sömmerda;51.121222320296994, 11.419263946365101
;;;
786;Groß-/Kleinbrembach;Sömmerda;51.128027913512085, 11.279471690175699
;;;
786;Guthmannshausen;Sömmerda;51.13464129884953, 11.365626365499823
;;;
786;Griefstedt;Sömmerda;51.229808733631295, 11.133322918219454
;;;
786;Büchel;Sömmerda;51.248547340474715, 11.156896037226348
;;;
786;Großneuhausen;Sömmerda;51.15966641700856, 11.286321754583424
;;;
786;Kindelbrück;Sömmerda;51.26249104970728, 11.09321844444428
;;;
786;Riethgen;Sömmerda;51.23944990521673, 11.112752280711637
;;;
786;Schwerstedt;Sömmerda;51.15712378727647, 10.921290130172817
;;;
786;Gebesee;Sömmerda;51.11312866742574, 10.933881015205884
;;;
786;Ringleben;Sömmerda;51.10562819504323, 10.954879500767548
;;;
786;Kölleda;Sömmerda;51.1898281657466, 11.2533335619919
;;;
786;Friemar;Gotha;50.9777445417869, 10.788694349729731
786;Molschleben;Gotha;51.0047629036144, 10.775967957074004
786;Pferdingsleben;Gotha;50.97104951073124, 10.818830528824067
786;Großrettbach;Gotha;50.92436505901514, 10.862540352169525
786;Günthersleben;Gotha;50.900981494222144, 10.768573750269663
786;Wechmar;Gotha;50.89246156977108, 10.77358790529266
786;Leina;Gotha;50.90048593102301, 10.631446258470032
786;Friedrichswerth;Gotha;50.99440780816579, 10.539027937646791
786;Remstädt;Gotha;50.979051670619725, 10.689313719136935
786;Siebleben;Gotha;50.94224531036747, 10.745003009785231
786;Fahner (Großfahner);Gotha;51.05530255260566, 10.828936242429801
786;Sundhausen;Gotha;50.93080633864294, 10.679297948507376
786;Wölfis;Gotha;50.80906762327854, 10.774100059899254
786;Schwabhausen;Gotha;48.29934906486135, 11.34536113676493
786;Ermstedt;Erfurt;50.97071347303899, 10.879688014760442
786;Frienstedt;Erfurt;50.95675580753668, 10.916453951130396
786;Mittelhausen;Erfurt;51.043961691926484, 11.003960537458845
786;Artern;Kyffhäuserkreis;51.36724542563524, 11.292650058492212
;;;
786;Kachstedt (Artern);Kyffhäuserkreis;51.390837683037105, 11.259329924761605
;;;
786;Voigstedt (Artern);Kyffhäuserkreis;51.39197381460006, 11.319718410952198
;;;
786;Donndorf;Kyffhäuserkreis;51.293795222291806, 11.378518748265805
;;;
786;Wiehe;Kyffhäuserkreis;51.26618501589728, 11.410852452237366
;;;
786;Hechendorf;Kyffhäuserkreis;51.277287940203486, 11.396171042603465
;;;
786;Rockensußra;Kyffhäuserkreis;51.26821263157783, 10.701159208034008
;;;
786;Gehofen;Kyffhäuserkreis;51.32333808535238, 11.31998055412896
;;;
786;Oberbösa;Kyffhäuserkreis;51.289083172580746, 11.018174461412944
;;;
786;Trebra;Kyffhäuserkreis;51.2840148214036, 10.979466645766756
;;;
786;Reinsdorf;Kyffhäuserkreis;50.697098914662874, 12.555862797561144
;;;
786;Borxleben;Kyffhäuserkreis;51.39629760948145, 11.22856081059676
;;;
786;Bretleben;Kyffhäuserkreis;51.33605093820638, 11.234919036484968
;;;
786;Gorsleben;Kyffhäuserkreis;51.2764511904165, 11.181340814964857
;;;
786;Weberstedt;Unstrut-Hainich;51.10766243395754, 10.518954247783928
786;Bruchstedt;Unstrut-Hainich-Kreis;51.184080758429474, 10.786690757135041
786;Urleben;Unstrut-Hainich-Kreis;51.15319540939771, 10.770205170108975
786;Kutzleben;Unstrut-Hainich;51.19547027184429, 10.871488147324682
786;Buttelstedt;Weimarer Land;51.07351258583311, 11.339628616199066
786;Niedertrebra;Weimarer Land;51.06812480583825, 11.586080351729299
786;Daasdorf (Ettersberg);Weimarer Land;51.064355600362035, 11.343007491772214
786;Nermsdorf;Weimarer Land;51.084448730417186, 11.370240041115373
786;Rothenstein;Saale-Holzland-Kreis;50.851372867474076, 11.604623190390795
786;Berka/Werra;WAK;-1
786;Behringen;WAK;51.02279732609141, 10.519112627230344
786;Dorndorf;WAK;50.835380994658784, 10.090577214319117
786;Badelachen (Vacha);WAK;50.830140957434196, 10.039310529824936
786;Wolferbütt (Vacha);WAK;50.76879610745834, 10.055661080746036
786;Mariengart (Vacha);WAK;50.75951772808209, 10.04928090780422
786;Wüllersleben;Ilm-Kreis;50.81522224755415, 11.072076895152703
788;Diedorf;WAK;48.35648725955916, 10.78634187022498
788;Schwallungen;SM;50.69522669819002, 10.36290672081009
788;Herpf;SM;50.579460896434355, 10.334552645471527
793;Schloßvippach;Sömmerda;51.10582704765391, 11.151086432245169
795;Kaltennordheim;SM;50.62714450801067, 10.17727685666261
795;Kaltensundheim;SM;50.606271730512816, 10.155389156889045
795;Kaltenwestheim;SM;50.609538492356236, 10.119270261930131
795;Unterweid;SM;50.60985011895593, 10.06080809188665
795;Oberweid;SM;50.590795958951965, 10.066576515703455
795;Behrungen;SM;50.41097486553148, 10.415064658712588
795;Kühndorf;SM;50.60781124638763, 10.493671000594514
795;Wiesenthal;WAK;50.70277676638031, 10.1682355117421
796;Gügleben;Ilm-Kreis;50.87962089368649, 11.083905245763868
796;Beinerstadt;HBN;50.47192006049664, 10.594930865827504
796;Marisfeld;HBN;50.55624280536826, 10.574761164025304
796;Trostadt;HBN;50.46419755360536, 10.640785077548985
796;Themar;HBN;50.502218326171764, 10.621324851403958
799;Wichtshausen;Suhl;50.600533607757676, 10.572672962573366
799;Streufdorf (Straufhain);HBN;50.360235178813234, 10.688539584412835
799;Dingsleben;HBN;50.43319781865611, 10.596843911040649
799;Seidigstadt (Straufhain);HBN;50.33273301514521, 10.693053083977532
799;Hindfeld (Römhild);HBN;50.36679009589123, 10.565473890736394
799;Döllstädt;Gotha;51.082475896399586, 10.814493453815357
800;Kleinschwabhausen;Weimarer Land;50.93153244867806, 11.461367217930958
800;Römhild;HBN;50.40076900619321, 10.542416305652091
802;Kleinrettbach;Gotha;50.93383264050634, 10.884795552356179
802;Goldbach;Gotha;50.00294275842533, 9.178558339878501
802;Dachwig;Gotha;51.078527180954254, 10.858698403707884
802;Schwarzhausen;Gotha;50.90178713142879, 10.472516031931471
802;Mihla;WAK;51.076868330187565, 10.33158097528125
802;Greußen;Kyffhäuserkreis;51.228002805739365, 10.952951315792756
802;Körner;Unstrut-Hainich;51.232032042840686, 10.58930074990826
802;Umpferstedt;Weimarer Land;50.97921355891519, 11.418527922356418
802;Salza;Nordhausen;51.52412399111503, 10.786998064582006
802;Haßleben;Sömmerda;51.10805912288909, 10.996413975391482
802;Straßfurt;Sömmerda;51.8594235922078, 11.585048674450418
802;Werningshausen;Sömmerda;51.13931479747255, 11.0014809264313
802;Günstedt;Sömmerda;51.22202289121527, 11.0835527622064
802;Markvippach;Sömmerda;51.0782384154476, 11.175921593964752
802;Orlishausen (Sömmerda);Sömmerda;51.15560308821471, 11.195406171740176
805;Andisleben;Sömmerda;51.082062164249585, 10.929831971196913
805;Rudersdorf;Sömmerda;50.84160687832168, 8.150518698097493
805;Oberdorla;Unstrut-Hainich;51.17011588271084, 10.391470707271937
810;Dietzhausen;Suhl;50.60116092032605, 10.59584168276589
815;Molsdorf;Erfurt;50.90089021828961, 10.95150389785065
815;Seebach;Mühlhausen;50.91339261579825, 10.424696903483957
815;Dornheim;Ilm-Kreis;50.83365997960581, 11.001040073104164
815;Bösleben;Ilm-Kreis;50.8252507308827, 11.058964913775611
815;Geismar (Geisa);WAK;50.68090821889631, 9.928250064654119
815;Borsch;WAK;50.73370867923273, 9.966501117571362
815;Rohr;SM;50.57670701589681, 10.494806941216552
815;Kleinneuhausen;Sömmerda;51.15241129731938, 11.277939725407208
815;Großschwabhausen;Weimarer Land;50.93585930329415, 11.489185178505267
815;Krautheim;Weimarer Land;51.0881386989751, 11.306923603086789
817;Haufeld (Rudolstadt);Saalfeld-Rudolstadt;50.802016724004275, 11.273417652896946
817;Grüningen;Kyffhäuserkreis;51.2296136582399, 10.972405589116459
817;Westgreußen;Kyffhäuserkreis;51.23888424891498, 10.914403982531258
817;Wernrode;Nordhausen;51.39992540347038, 10.738195958830937
;;;
817;Auleben;Nordhausen;51.425406904400205, 10.929234599205365
;;;
817;Kreuzebra;Eichsfeld;51.34125226523325, 10.253599805811367
;;;
817;Dingelstädt;Eichsfeld;51.314033633860234, 10.318570242237282
;;;
817;Wandersleben;Gotha;50.90284015868808, 10.85408140487529
817;Altengottern;Unstrut-Hainich-Kreis;51.16536613385623, 10.590983130246885
;;;
817;Diedorf;Unstrut-Hainich-Kreis;48.35534294412603, 10.790449054640034
;;;
817;Eisfeld;HBN;50.42277623978869, 10.916046559863881
817;Rieht (Heldburg);HBN;50.264050557913166, 10.633382632067438
817;Birkenfeld (Hildburghausen);HBN;50.418339300690654, 10.7494177223044
817;Veilsdorf;HBN;50.40866280068235, 10.81198561149616
817;Geisa;WAK;50.7117855156241, 9.946521130339566
817;Spahl (Geisa);WAK;50.657766651150986, 9.9125061061936
817;Vacha;WAK;50.822928116978964, 10.028818691168405
817;Belrieth;SM;50.52958649904201, 10.496798674828792
817;Rosa;SM;50.712136942270845, 10.249442008758924
817;Behringen (Stadtilm);Ilm-Kreis;50.77306192133373, 11.013091843624451
817;Alperstedt;Sömmerda;51.09375315829385, 11.047414739083372
819;Teutleben;Gotha;50.94506031449833, 10.55679055229586
819;Kaltenlengsfeld;SM;50.64281298973746, 10.191881505283334
822;Warza;Gotha;50.99757035219475, 10.69165445206951
;;;
825;Empfertshausen;WAK;50.664682828831786, 10.100029207362546
;;;
825;Ettenhausen (Salzungen);WAK;50.88028902676186, 10.232708902655132
;;;
825;Bibra;SM;50.470240195532455, 10.437920355478312
825;Wölfershausen;SM;50.490134088411594, 10.438991854472771
826;Lengfeld;HBN;50.52500180788215, 10.657231324463702
;;;
826;Heilsberg (Rudolstadt);Saalfeld-Rudolstadt;50.765740547573934, 11.265615803928007
;;;
827;Völkershausen (Vacha);WAK;50.79830182386053, 10.047620691238656
;;;
827;Schwarza;SM;50.61848678439142, 10.52894880838098
;;;
828;Dörrensolz;SM;50.60640291491971, 10.254979127848507
;;;
830;Seeba;SM;50.57003831278903, 10.30010845610381
;;;
833;Kapellendorf;Weimarer Land;50.97644156608076, 11.464071831916945
833;Kirchheiligen;Unstrut-Hainich-Kreis;51.184040454373374, 10.70567740162585
;;;
833;Kleinfura;Nordhausen;51.41936896089605, 10.76241526928432
;;;
833;Christes;SM;50.661512003175524, 10.472886829266203
;;;
834;Wolkramshausen;Nordhausen;51.42372501726515, 10.741327724968043
;;;
837;Urnshausen;WAK;50.733266372267934, 10.181762374279122
837;Hellingen;HBN;50.2525641255029, 10.684404988051766
;;;
837;Heldburg;HBN;50.276890404253024, 10.726958830211515
;;;
837;Eishausen (Straufhain);HBN;50.374921839375524, 10.737809214747957
;;;
837;Ummerstadt;HBN;50.26036097868495, 10.80996548342033
;;;
837;Ober-/Untermaßfeld;SM;50.52940394837662, 10.423656257382575
837;Fischbach;SM;49.45542626912674, 7.920466417611914
838;Aschenhausen;SM;50.59844623642943, 10.20448941879505
839;Haina;HBN;50.41730070927696, 10.540021146432464
;;;
840;Vachdorf;SM;50.52483395840882, 10.531331146904355
840;Niederspier;Kyffhäuserkreis;51.28936282037394, 10.843579699193928
842;Otterstedt;Kyffhäuserkreis;53.134655474673266, 9.156691334048485
;;;
842;Topfstedt;Kyffhäuserkreis;51.259848010891474, 10.955600881624873
842;Rannstedt;Weimarer Land;51.08604041105501, 11.540616607890634
;;;
842;Pfuhlsborn;Weimarer Land;51.0443521225803, 11.597634975899485
842;Hopfengarten;Weimarer Land;50.660722254191136, 10.37955811996987
842;Göttern;Weimarer Land;50.896607337543166, 11.465129542038065
;;;
842;Darnstedt;Weimarer Land;51.080329701276, 11.61205255213575
;;;
842;Auerstedt;Weimarer Land;51.099010077140036, 11.586909712190856
;;;
842;Wiesenfeld (Geisa);WAK;50.70366580072328, 9.927577320537985
842;Tüttleben;Gotha;50.94688854739196, 10.790491233849442
;;;
842;Ollendorf;Sömmerda;51.03623697829532, 11.188723563138502
842;Rothenberga;Sömmerda;51.20076264716981, 11.425602948826963
842;Dienstedt (Stadtilm);Ilm-Kreis;50.80443127619009, 11.168999449583977
842;Witzleben;Ilm-Kreis;50.8228258470703, 11.11421616914788
845;Erbenhausen;SM;50.577071231282865, 10.158370993933854
850;Bettenhausen;SM;50.55633613623153, 10.285656997172769
850;Schwabsdorf (Bad Sulza);Weimarer Land;50.989874228704316, 11.42845430551517
;;;
852;Schönstedt;Unstrut-Hainich-Kreis;51.12002021265624, 10.582981033442044
856;Helmershausen;SM;50.56344745495283, 10.235667425545996
856;Rippersroda;Ilm-Kreis;50.757993302118976, 10.872393944918098
;;;
856;Kranichfeld;Weimarer Land;50.858480832208656, 11.202291954219556
;;;
856;Sohnstedt;Weimarer Land;50.960629266528656, 11.17241419220435
;;;
856;Solsdorf;Saalfeld-Rudolstadt;50.71556563518781, 11.161544042341118
856;Volkstedt (Rudolstadt);Saalfeld-Rudolstadt;50.701810353127456, 11.31993186847748
856;Geilsdorf (Stadtilm);Ilm-Kreis;50.74414438555365, 11.080281317135816
;;;
857;Neubrunn;SM;50.49930480963738, 10.46694913110115
857;Wohlmuthausen;SM;50.574120704608674, 10.211381570928943
860;Bechstedtstraß;Weimarer Land;50.9572206035164, 11.19722801605917
;;;
860;Großromstedt;Weimarer Land;50.97938938874741, 11.494107572390137
;;;
860;Wangenheim;Gotha;51.02054812487148, 10.62991700875541
;;;
860;Kammerforst;Unstrut-Hainich-Kreis;51.120723837090914, 10.425753337471557
860;Sundhausen;Unstrut-Hainich-Kreis;51.15634203622608, 10.711944184274083
860;Greußen;Kyffhäuserkreis;51.22880025672405, 10.952484666160226
;;;
860;Seebach;WAK;50.914413555102065, 10.42409533019108
863;Stepfershausen;SM;50.59709498841543, 10.298492824759778
;;;
869;Klings;SM;50.649393437043706, 10.115478324245867
;;;
870;Bendeleben;Kyffhäuserkreis;51.373306976244066, 11.008373865491775
;;;
871;Westenfeld (Römhild);HBN;50.4307867284819, 10.4984633865367
;;;
873;Leimbach;WAK;50.81417411015967, 10.188927984403065
;;;
874;Ottenhausen (Weißensee);Sömmerda;51.213842529657406, 11.00169795232661
874;Wickerstedt;Weimarer Land;51.05954406653739, 11.542439151056264
;;;
874;Wormstedt;Weimarer Land;51.02969508262997, 11.598650517265412
874;Großheringen;Weimarer Land;51.10755600232166, 11.660280949660418
874;Magdala;Weimarer Land;50.906290559590225, 11.445194960544006
874;Gebstedt;Weimarer Land;51.09474957376377, 11.517396157763104
874;Hermstedt;Weimarer Land;50.99376111450846, 11.536030005491483
874;Bufleben;Gotha;50.999859410057454, 10.739302787960852
874;Haina;Gotha;50.98901185703795, 10.517377737856906
874;Uelleben;Gotha;50.91442880175925, 10.70151360108925
874;Burgtonna;Gotha;51.06761898178138, 10.724603306210815
874;Weißenborn;Eichsfeld;51.12497995095073, 10.119058197078735
;;;
874;Töttelstedt;Erfurt;51.01329099067559, 10.879457419886611
;;;
874;Gundersleben;Kyffhäuserkreis;51.3014929512858, 10.77134877564198
;;;
874;Thüringenhausen;Kyffhäuserkreis;51.27052030520678, 10.814826389650063
;;;
874;Oberheldrungen;Kyffhäuserkreis;51.279088774297996, 11.243987710128362
874;Treppendorf (Rudolstadt);Saalfeld-Rudolstadt;50.810482977637946, 11.267602131500885
874;Hellingen;Saalfeld-Rudolstadt;50.25424030297668, 10.68974243401372
874;Simmershausen (Römhild);HBN;50.371560404848736, 10.642496887489145
;;;
874;Ober-/Unterkatz;SM;50.61293743773744, 10.24209356451583
874;Wasungen;SM;50.659668284139904, 10.373734008152038
874;Gerthausen;SM;50.57017597001204, 10.193113557433671
874;Schmalkalden;SM;50.71903439583954, 10.45255758752264
